State,Diabetes
Alabama,2.95936
Alaska,2.99861
Arizona,3.03842
Arkansas,2.98858
California,2.99076
Colorado,2.99938
Connecticut,2.99822
Delaware,3.02714
District of Columbia,2.99305
Florida,2.99563
Georgia,2.99653
Hawaii,2.98721
Idaho,3.01924
Illinois,2.99801
Indiana,2.99204
Iowa,2.98816
Kansas,3.01517
Kentucky,3.00856
Louisiana,2.97155
Maine,3.01816
Maryland,2.98467
Massachusetts,3.03185
Michigan,2.97743
Minnesota,3.02848
Mississippi,2.98132
Missouri,2.97786
Montana,3.01603
Nebraska,2.99293
Nevada,2.99463
New Hampshire,3.01498
New Jersey,2.99563
New Mexico,3.0107
New York,3.00326
North Carolina,2.97815
North Dakota,3.01614
Ohio,3.02063
Oklahoma,2.97479
Oregon,3.00276
Pennsylvania,3.00359
Rhode Island,2.99751
South Carolina,2.97353
South Dakota,3.0287
Tennessee,2.99591
Texas,2.98856
Utah,2.99995
Vermont,3.0011
Virginia,3.00431
Washington,3.01321
West Virginia,2.98158
Wisconsin,2.993
Wyoming,3.05885